"Freq [GHz]","sqrt(2)*sqrt(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))*(1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))) []"
1.545485,7.71876932695424
1.5529825,7.75108832985685
1.56048,7.78334315529784
1.5679775,7.8155337065119
1.575475,7.84765988889378
1.5829725,7.87972160973104
1.59047,7.91171877862051
1.5979675,7.94365130696887
1.605465,7.9755191084634
1.6129625,8.00732209863449
1.62046,8.03906019498146
1.6279575,8.07073332046005
1.635455,8.10234138893926
1.6429525,8.13388433065144
1.65045,8.1653620696677
1.6579475,8.19677453354342
1.665445,8.22812165196045
1.6729425,8.25940335655563
1.68044,8.29061958092271
1.6879375,8.32177026064239
1.695435,8.35285533322874
1.7029325,8.38387473811299
1.71043,8.41482841661509
1.7179275,8.44571631208888
1.725425,8.47653836969849
1.7329225,8.50729453655694
1.74042,8.53798476159239
1.7479175,8.56860899570649
1.755415,8.59916719159563
1.7629125,8.62965930385769
1.77041,8.66008528893524
1.7779075,8.69044510508632
1.785405,8.72073871240215
1.7929025,8.75096607283084
1.8004,8.78112715002643
1.8078975,8.81122190959512
1.815395,8.8412503188344
1.8228925,8.87121234681039
1.83039,8.9011079643627
1.8378875,8.93093714419854
1.845385,8.96069986058789
1.8528825,8.99039608966265
1.86038,9.02002580925977
1.8678775,9.04958899889259
1.875375,9.07908563986551
1.8828725,9.10851571506798
1.89037,9.13787920913772
1.8978675,9.16717610835561
1.905365,9.19640640072639
1.9128625,9.22557007584257
1.92036,9.25466712491832
1.9278575,9.28369754089754
1.935355,9.3126613182365
1.9428525,9.34155845309656
1.95035,9.37038894314252
1.9578475,9.39915278766644
1.965345,9.42784998755722
1.9728425,9.45648054527393
1.98034,9.48504446480209
1.9878375,9.51354175163001
1.995335,9.54197241287451
2.0028325,9.5703364571144
2.01033,9.59863389441678
2.0178275,9.62686473639582
2.025325,9.65502899616264
2.0328225,9.68312668826228
2.04032,9.71115782872547
2.0478175,9.7391224350518
2.055315,9.76702052612797
2.0628125,9.79485212232756
2.07031,9.82261724548028
2.0778075,9.85031591877796
2.085305,9.87794816673185
2.0928025,9.90551401541608
2.1003,9.93301349218827
2.1077975,9.96044662572154
2.115295,9.98781344614394
2.1227925,10.015113984858
2.13029,10.0423482746752
2.1377875,10.0695163496448
2.145285,10.096618245171
2.1527825,10.1236539979751
2.16028,10.1506236459985
2.1677775,10.1775272285561
2.175275,10.2043647861712
2.1827725,10.2311363606154
2.19027,10.2578419949761
2.1977675,10.2844817335132
2.205265,10.3110556216781
2.2127625,10.3375637062139
2.22026,10.3640060350797
2.2277575,10.3903826573195
2.235255,10.4166936232379
2.2427525,10.4429389842905
2.25025,10.4691187931189
2.2577475,10.4952331034562
2.265245,10.5212819702136
2.2727425,10.5472654494135
2.28024,10.5731835982566
2.2877375,10.5990364749104
2.295235,10.6248241387548
2.3027325,10.6505466502317
2.31023,10.6762040708583
2.3177275,10.7017964631366
2.325225,10.7273238907454
2.3327225,10.7527864183428
2.34022,10.7781841115844
2.3477175,10.803517037241
2.355215,10.8287852629702
2.3627125,10.8539888575334
2.37021,10.8791278906615
2.3777075,10.9042024330128
2.385205,10.9292125562899
2.3927025,10.9541583330859
2.4002,10.9790398369796
2.4076975,11.0038571425096
2.415195,11.0286103250802
2.4226925,11.0532994610535
2.43019,11.0779246277116
2.4376875,11.1024859032308
2.445185,11.1269833666202
2.4526825,11.1514170978673
2.46018,11.1757871777426
2.4676775,11.2000936879273
2.475175,11.2243367108975
2.4826725,11.2485163300348
2.49017,11.2726326295148
2.4976675,11.2966856943271
2.505165,11.3206756103117
2.5126625,11.3446024639994
2.52016,11.3684663428684
2.5276575,11.3922673350823
2.535155,11.4160055295688
2.5426525,11.4396810160717
2.55015,11.4632938850841
2.5576475,11.4868442277659
2.565145,11.5103321361339
2.5726425,11.5337577028035
2.58014,11.5571210211854
2.5876375,11.580422185421
2.595135,11.6036612902499
2.6026325,11.6268384312189
2.61013,11.6499537044484
2.6176275,11.6730072068324
2.625125,11.6959990358301
