"Freq [GHz]","mag(S(waveport1:1,antenna))**2 []"
1.005665,3.3728700429431E-06
1.0131625,3.42154968355631E-06
1.02066,3.47054336959823E-06
1.0281575,3.51985026752244E-06
1.035655,3.56946954514705E-06
1.0431525,3.61940037179376E-06
1.05065,3.66964191842459E-06
1.0581475,3.72019335777624E-06
1.065645,3.77105386449213E-06
1.0731425,3.82222261525188E-06
1.08064,3.87369878889834E-06
1.0881375,3.92548156656205E-06
1.095635,3.97757013178296E-06
1.1031325,4.02996367062966E-06
1.11063,4.08266137181574E-06
1.1181275,4.13566242681359E-06
1.125625,4.18896602996529E-06
1.1331225,4.24257137859082E-06
1.14062,4.29647767309348E-06
1.1481175,4.35068411706244E-06
1.155615,4.40518991737253E-06
1.1631125,4.45999428428125E-06
1.17061,4.5150964315229E-06
1.1781075,4.57049557639995E-06
1.185605,4.62619093987158E-06
1.1931025,4.68218174663956E-06
1.2006,4.73846722523117E-06
1.2080975,4.79504660807954E-06
1.215595,4.85191913160124E-06
1.2230925,4.90908403627116E-06
1.23059,4.96654056669468E-06
1.2380875,5.02428797167737E-06
1.245585,5.08232550429195E-06
1.2530825,5.14065242194279E-06
1.26058,5.1992679864279E-06
1.2680775,5.25817146399843E-06
1.275575,5.31736212541576E-06
1.2830725,5.37683924600632E-06
1.29057,5.43660210571396E-06
1.2980675,5.49664998915015E-06
1.305565,5.55698218564201E-06
1.3130625,5.61759798927811E-06
1.32056,5.67849669895229E-06
1.3280575,5.73967761840534E-06
1.335555,5.80114005626486E-06
1.3430525,5.86288332608312E-06
1.35055,5.92490674637315E-06
1.3580475,5.987209640643E-06
1.365545,6.04979133742844E-06
1.3730425,6.11265117032387E-06
1.38054,6.17578847801179E-06
1.3880375,6.23920260429072E-06
1.395535,6.30289289810176E-06
1.4030325,6.36685871355375E-06
1.41053,6.43109940994721E-06
1.4180275,6.49561435179701E-06
1.425525,6.560402908854E-06
1.4330225,6.6254644561255E-06
1.44052,6.69079837389488E-06
1.4480175,6.7564040477402E-06
1.455515,6.822280868552E-06
1.4630125,6.88842823255034E-06
1.47051,6.95484554130121E-06
1.4780075,7.02153220173219E-06
1.485505,7.08848762614774E-06
1.4930025,7.15571123224387E-06
1.5005,7.22320244312248E-06
1.5079975,7.29096068730543E-06
1.515495,7.35898539874817E-06
1.5229925,7.42727601685347E-06
1.53049,7.49583198648474E-06
1.5379875,7.56465275797951E-06
1.545485,7.63373778716288E-06
1.5529825,7.703086535361E-06
1.56048,7.77269846941481E-06
1.5679775,7.84257306169392E-06
1.575475,7.91270979011085E-06
1.5829725,7.98310813813557E-06
1.59047,8.0537675948105E-06
1.5979675,8.12468765476598E-06
1.605465,8.19586781823627E-06
1.6129625,8.26730759107617E-06
1.62046,8.33900648477827E-06
