Freq [GHz],barium-dipole | output_power [],"barium-loop | mag(S(waveport1:1,antenna))**2 []",ferrite-dipole | output_power [],"ferrite-loop | mag(S(waveport1:1,antenna))**2 []",silver-dipole | output_power [],"silver-loop | mag(S(waveport1:1,antenna))**2 []"
1.1042035714285716,1.6711412165318744e-05,1.8232660502295305e-05,3.005066018967188e-06,4.0374733103585734e-06,8.318601026086322e-09,2.699374761732423e-13
1.1116380672268908,1.69271407868313e-05,1.847104173600991e-05,3.0436237619927866e-06,4.0897699302943145e-06,8.432373171563915e-09,2.695198214904013e-13
1.11907256302521,1.7144127802875136e-05,1.871083801570221e-05,3.0823998435767577e-06,4.142364720398877e-06,8.54698264668427e-09,2.6910137868415796e-13
1.1265070588235295,1.7362372783624988e-05,1.8952046741887183e-05,3.121393606328474e-06,4.195256895526881e-06,8.662439659654556e-09,2.686821812703965e-13
1.1339415546218488,1.7581875518987458e-05,1.9194665329482876e-05,3.1606043588388678e-06,4.248445673425019e-06,8.778755408707282e-09,2.682622615310487e-13
1.1413760504201682,1.7802635475379685e-05,1.9438691208228372e-05,3.2000314399705736e-06,4.301930274832768e-06,8.895939758674096e-09,2.6784165056847133e-13
1.1488105462184874,1.8024650061750403e-05,1.9684121823099134e-05,3.239674381121247e-06,4.355709923580406e-06,9.013994093647654e-09,2.674203783571067e-13
1.156245042016807,1.8247915880871103e-05,1.993095463471901e-05,3.2795327891294965e-06,4.409783846684405e-06,9.132916474714941e-09,2.6699847379257283e-13
1.1636795378151261,1.8472429587498084e-05,2.0179187119769706e-05,3.319606268883887e-06,4.464151274440166e-06,9.252705029146083e-09,2.665759647383197e-13
1.1711140336134456,1.869818936175669e-05,2.0428816771396663e-05,3.35989436505883e-06,4.51881144051202e-06,9.373359978375316e-09,2.6615287806997606e-13
1.1785485294117648,1.8925195087522074e-05,2.0679841099612027e-05,3.4003965550729575e-06,4.573763582020602e-06,9.494883882898249e-09,2.6572923971752414e-13
1.185983025210084,1.9153446738245746e-05,2.0932257631694846e-05,3.441112312812486e-06,4.629006939627564e-06,9.617279426412116e-09,2.653050747053874e-13
1.1934175210084035,1.938294386531391e-05,2.1186063912587716e-05,3.4820411429328846e-06,4.684540757617725e-06,9.740549584274191e-09,2.6488040719057616e-13
1.2008520168067227,1.961368464126468e-05,2.1441257505290766e-05,3.5231826506099064e-06,4.74036428397841e-06,9.864698284668024e-09,2.644552604989575e-13
1.2082865126050422,1.9845666957516746e-05,2.169783599125129e-05,3.564536461513385e-06,4.796476770476372e-06,9.989729650039327e-09,2.640296571597821e-13
1.2157210084033614,2.007888872026956e-05,2.1955796970751972e-05,3.6061021921862045e-06,4.852877472732067e-06,1.0115647786481395e-08,2.6360361893853213e-13
1.2231555042016808,2.031334800068984e-05,2.2215138063294155e-05,3.647879357306175e-06,4.909565650291366e-06,1.0242456617579568e-08,2.6317716686818983e-13
1.23059,2.0549042973205668e-05,2.24758569079792e-05,3.6898674077885784e-06,4.96654056669468e-06,1.0370159952678168e-08,2.62750321279008e-13
1.2380244957983195,2.0785971819018415e-05,2.2737951163885386e-05,3.7320657942242156e-06,5.023801489543776e-06,1.0498761573239538e-08,2.6232310182686434e-13
