# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
9.456850000000000000e-01,3.557774172217963941e-03,8.332124887364713824e-05
9.531825000000000000e-01,3.586201726382170357e-03,8.465527537582836354e-05
9.606800000000000000e-01,3.614638765701879818e-03,8.600018197590144622e-05
9.681775000000000000e-01,3.643085360302407601e-03,8.735597759455221802e-05
9.756750000000000000e-01,3.671541580352408012e-03,8.872267122232190060e-05
9.831725000000000000e-01,3.700007496067849941e-03,9.010027191976659167e-05
9.906700000000000000e-01,3.728483177715172323e-03,9.148878881734784189e-05
9.981675000000000000e-01,3.756968695615351198e-03,9.288823111563782660e-05
1.005665000000000000e+00,3.785464120146970601e-03,9.429860808532213761e-05
1.013162500000000000e+00,3.813969521750742823e-03,9.571992906725511818e-05
1.020659999999999881e+00,3.842484970932807855e-03,9.715220347251349038e-05
1.028157500000000000e+00,3.871010538268760542e-03,9.859544078249222565e-05
1.035655000000000000e+00,3.899546294407702039e-03,1.000496505489215939e-04
1.043152499999999881e+00,3.928092310076254819e-03,1.015148423940241153e-04
1.050650000000000119e+00,3.956648656082494865e-03,1.029910260105125816e-04
1.058147500000000000e+00,3.985215403320308859e-03,1.044782111616624539e-04
1.065645000000000000e+00,4.013792622773364530e-03,1.059764076814990498e-04
1.073142500000000119e+00,4.042380385519461772e-03,1.074856254746554726e-04
1.080640000000000000e+00,4.070978762734746292e-03,1.090058745166824490e-04
1.088137500000000000e+00,4.099587825698229430e-03,1.105371648540291794e-04
1.095635000000000000e+00,4.128207645795818788e-03,1.120795066041112092e-04
1.103132500000000000e+00,4.156838294525266528e-03,1.136329099554536783e-04
1.110630000000000000e+00,4.185479843500057757e-03,1.151973851677444075e-04
1.118127500000000000e+00,4.214132364454401328e-03,1.167729425719265423e-04
1.125625000000000000e+00,4.242795929247462558e-03,1.183595925703138181e-04
1.133122500000000000e+00,4.271470609868073878e-03,1.199573456366865388e-04
1.140620000000000000e+00,4.300156478439379551e-03,1.215662123164034666e-04
1.148117500000000000e+00,4.328853607223528965e-03,1.231862032264090180e-04
1.155615000000000000e+00,4.357562068626422841e-03,1.248173290555225975e-04
1.163112500000000000e+00,4.386281935201987586e-03,1.264596005643610626e-04
1.170610000000000000e+00,4.415013279657755904e-03,1.281130285856172562e-04
1.178107500000000000e+00,4.443756174858926045e-03,1.297776240239938291e-04
1.185605000000000000e+00,4.472510693833446280e-03,1.314533978564591662e-04
1.193102500000000000e+00,4.500927098855928704e-03,1.331300143011271441e-04
1.200600000000000000e+00,4.529236975622228691e-03,1.348141793114381753e-04
1.208097500000000000e+00,4.557558717788611283e-03,1.365093816591182263e-04
1.215595000000000000e+00,4.585892395022429097e-03,1.382156324711558421e-04
1.223092500000000000e+00,4.614238077249938758e-03,1.399329429462011030e-04
1.230590000000000000e+00,4.642595834658714768e-03,1.416613243548269169e-04
