# Frequency (GHz),Output Power (W)
9.906700000000000000e-01,5.174970718788960667e-00
9.981675000000000000e-01,5.253954058481186721e-00
1.005665000000000000e+00,5.333543493838397405e-00
1.013162500000000000e+00,5.413739256961057595e-00
1.020659999999999881e+00,5.494541581632737459e-00
1.028157500000000000e+00,5.575950703327048805e-00
1.035655000000000000e+00,5.657966859216118797e-00
1.043152499999999881e+00,5.740590288178031146e-00
1.050650000000000119e+00,5.823821230805465839e-00
1.058147500000000000e+00,5.907659929414161850e-00
1.065645000000000000e+00,5.992106628051799126e-00
1.073142500000000119e+00,6.077161572507483659e-00
1.080640000000000000e+00,6.162825010320576963e-00
1.088137500000000000e+00,6.249097190791259419e-00
1.095635000000000000e+00,6.335978364990122073e-00
1.103132500000000000e+00,6.423468785768473340e-00
1.110630000000000000e+00,6.511568707769097163e-00
1.118127500000000000e+00,6.600278387437408440e-00
1.125625000000000000e+00,6.689598083032305210e-00
1.133122500000000000e+00,6.779528054637756061e-00
1.140620000000000000e+00,6.870068564174902543e-00
1.148117500000000000e+00,6.961219875413772779e-00
1.155615000000000000e+00,7.052982253985823488e-00
1.163112500000000000e+00,7.145355967396565005e-00
1.170610000000000000e+00,7.238341285038985068e-00
1.178107500000000000e+00,7.331938478205630885e-00
1.185605000000000000e+00,7.426147820103393257e-00
1.193102500000000000e+00,7.520969585866499210e-00
1.200600000000000000e+00,7.616404052571159739e-00
1.208097500000000000e+00,7.712451499249359501e-00
1.215595000000000000e+00,7.809112206903805257e-00
1.223092500000000000e+00,7.906386458523247002e-00
1.230590000000000000e+00,8.004274539096736067e-00
1.238087500000000000e+00,8.102776735630119398e-00
1.245585000000000000e+00,8.201893337160840605e-00
1.253082500000000000e+00,8.301624634774531646e-00
1.260580000000000000e+00,8.401970921621712925e-00
1.268077500000000000e+00,8.502932492932817969e-00
1.275575000000000000e+00,8.604509646036631633e-00
1.283072500000000000e+00,8.706702680376683583e-00
1.290570000000000000e+00,8.809511897528339721e-00
1.298067500000000000e+00,8.912937601216681360e-00
1.305565000000000000e+00,9.016980097334321715e-00
1.313062500000000000e+00,9.121639693959032657e-00
1.320560000000000000e+00,9.226916701372869022e-00
1.328057500000000000e+00,9.332811432080349330e-00
1.335555000000000000e+00,9.439324200826661908e-00
1.343052500000000000e+00,9.546455324617648093e-00
1.350550000000000000e+00,9.654205122738431871e-00
1.358047500000000000e+00,9.762573916773050720e-00
1.365545000000000000e+00,9.871562030624482848e-00
1.373042500000000000e+00,9.981169790534144204e-00
1.380540000000000000e+00,1.009139752510219186e+01
1.388037500000000000e+00,1.020224556530731576e+01
1.395535000000000000e+00,1.031371424452892764e+01
1.403032500000000000e+00,1.042580389856615316e+01
1.410530000000000000e+00,1.053851486565956339e+01
1.418027500000000000e+00,1.065184748651246077e+01
1.425525000000000000e+00,1.076580210431190582e+01
1.433022500000000000e+00,1.088037906475055030e+01
1.440520000000000000e+00,1.099557871604760632e+01
1.448017500000000000e+00,1.111140140897226852e+01
