"Freq [GHz]","sqrt((1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))/(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2)))) []"
1.5979675,0019.6038870887795
1.605465,0019.6978930968075
1.6129625,0019.7919281080877
1.62046,0019.8859922711636
1.6279575,0019.9800857347716
1.635455,0020.0742086479422
1.6429525,0020.168361159947
1.65045,0020.2625434201636
1.6579475,0020.356755578292
1.665445,0020.4509977840453
1.6729425,0020.5452701876607
1.68044,0020.6395729391747
1.6879375,0020.7339061892347
1.695435,0020.8282700883864
1.7029325,0020.9226647877674
1.71043,0021.0170904382093
1.7179275,0021.1115471912643
1.725425,0021.2060351984057
1.7329225,0021.3005546114963
1.74042,0021.3951055824342
1.7479175,0021.4896882635363
1.755415,0021.5843028072624
1.7629125,0021.6789493663228
1.77041,0021.7736280935619
1.7779075,0021.8683391422603
1.785405,0021.9630826656368
1.7929025,0022.0578588175752
1.8004,0022.1526677517063
1.8078975,0022.2475096223734
1.815395,0022.3423845836577
1.8228925,0022.4372927903753
1.83039,0022.5322343972181
1.8378875,0022.6272095593566
1.845385,0022.7222184320993
1.8528825,0022.8172611711291
1.86038,0022.9123379321052
1.8678775,0023.0074488714148
1.875375,0023.1025941450663
1.8828725,0023.1977739098911
1.89037,0023.2929883226821
1.8978675,0023.3882375393834
1.905365,0023.4835217221144
1.9128625,0023.5788410226684
1.92036,0023.6741956016387
1.9278575,0023.7695856170834
1.935355,0023.8650112274115
1.9428525,0023.9604725914558
1.95035,0024.0559698682378
1.9578475,0024.151503217002
1.965345,0024.2470727975206
1.9728425,0024.3426787695431
1.98034,0024.4383212934289
1.9878375,0024.5340005295401
1.995335,0024.6297166386
2.0028325,0024.7254697817977
2.01033,0024.8212601204256
2.0178275,0024.9170878161882
2.025325,0025.0129530311513
2.0328225,0025.1088559274054
2.04032,0025.2047966676762
2.0478175,0025.3007754148249
2.055315,0025.3967923320898
2.0628125,0025.4928475828909
2.07031,0025.5889413312717
2.0778075,0025.6850737413309
2.085305,0025.7812449774593
