# Frequency (GHz),Output Power (W)
1.657947500000000000e+00,3.628670238047266975e-05
1.665445000000000000e+00,3.657178543778388308e-05
1.672942500000000000e+00,3.685747623681252788e-05
1.680440000000000000e+00,3.714376821520469951e-05
1.687937500000000000e+00,3.743065482473142502e-05
1.695435000000000000e+00,3.771812953153334726e-05
1.702932500000000000e+00,3.800618581635185645e-05
1.710430000000000000e+00,3.829481717476859720e-05
1.717927500000000000e+00,3.858401711743258180e-05
1.725425000000000000e+00,3.887377917028981064e-05
1.732922500000000000e+00,3.916409687480761401e-05
1.740420000000000000e+00,3.945496378819694062e-05
1.747917500000000000e+00,3.974637348363146809e-05
1.755415000000000000e+00,4.003831955046403005e-05
1.762912500000000000e+00,4.033079559444086124e-05
1.770410000000000000e+00,4.062379523790985244e-05
1.777907500000000000e+00,4.091731212002854787e-05
1.785405000000000000e+00,4.121133989697254918e-05
1.792902500000000000e+00,4.150587224213393798e-05
1.800400000000000000e+00,4.180090284631980007e-05
1.807897500000000000e+00,4.209642541795423939e-05
1.815395000000000000e+00,4.239243368326362752e-05
1.822892500000000000e+00,4.268892138647709296e-05
1.830390000000000000e+00,4.298588229000709505e-05
1.837887500000000000e+00,4.328331017464019610e-05
1.845385000000000000e+00,4.358119883971552783e-05
1.852882500000000000e+00,4.387954210331086079e-05
1.860380000000000000e+00,4.417833380241463341e-05
1.867877500000000000e+00,4.447756779310494692e-05
1.875375000000000000e+00,4.477723795071934473e-05
1.882872500000000000e+00,4.507733817002913850e-05
1.890370000000000000e+00,4.537786236540074426e-05
1.897867500000000000e+00,4.567880447096646455e-05
1.905365000000000000e+00,4.598015844078418463e-05
1.912862500000000000e+00,4.628191824899611324e-05
1.920360000000000000e+00,4.658407788998880406e-05
1.927857500000000000e+00,4.688663137854953152e-05
1.935355000000000000e+00,4.718957275001434544e-05
1.942852500000000000e+00,4.749289606042293569e-05
1.950350000000000000e+00,4.779659538666326482e-05
1.957847500000000000e+00,4.810066482662104560e-05
1.965345000000000000e+00,4.840509849931906784e-05
1.972842500000000000e+00,4.870989054506197997e-05
1.980340000000000000e+00,4.901503512557180083e-05
1.987837500000000000e+00,4.932052642412701596e-05
1.995335000000000000e+00,4.962635864569767602e-05
2.002832499999999762e+00,4.993252601707312934e-05
2.010330000000000238e+00,5.023902278699617839e-05
2.017827500000000000e+00,5.054584322629240476e-05
2.025325000000000000e+00,5.085298162798639564e-05
2.032822500000000000e+00,5.116043230744075888e-05
2.040320000000000000e+00,5.146818960246121602e-05
2.047817499999999762e+00,5.177624787342798056e-05
2.055314999999999762e+00,5.208460150340896893e-05
2.062812500000000238e+00,5.239324489827297765e-05
2.070310000000000000e+00,5.270217248680788853e-05
2.077807500000000000e+00,5.301137872082673744e-05
2.085305000000000000e+00,5.332085807528035622e-05
2.092802500000000000e+00,5.363060504836551502e-05
2.100299999999999762e+00,5.394061416162714223e-05
2.107797500000000238e+00,5.425087996006278741e-05
2.115295000000000238e+00,5.456139701222995048e-05
2.122792500000000000e+00,5.487215991033436290e-05
2.130290000000000000e+00,5.518316327034064405e-05
2.137787500000000000e+00,5.549440173206020971e-05
2.145285000000000000e+00,5.580586995924587547e-05
2.152782500000000000e+00,5.611756263968888602e-05
2.160280000000000000e+00,5.642947448530605118e-05
2.167777500000000000e+00,5.674160023222970075e-05
2.175275000000000000e+00,5.705393464089383117e-05
2.182772500000000000e+00,5.736647249612127536e-05
